"row_hash","residence_fuel_type_name","year","month","price","price_units","price_description","locatable_id","locatable_type"
"013e022fa026de9e41268538fa04ada5","electricity","2006","8","0.0633909","dollars","dollars_per_kilowatt_hour","ID","State"
"013f26cd5d489a9daa63db097f0f71b6","electricity","2008","9","0.0797506","dollars","dollars_per_kilowatt_hour","KY","State"
"013f44b308c0a5e3008cebfd807bba73","electricity","1990","5","0.0757183","dollars","dollars_per_kilowatt_hour","GA","State"
"01418f8b76f10e56a1fd559edc3ad434","fuel oil","2002","3","0.129444","gallons","dollars_per_litre","US","Country"
"014442b37fb7c5bac65d9d1698e00d8a","propane","2005","2","0.469698","gallons","dollars_per_litre","1B","PetroleumAdministrationForDefenseDistrict"
"01452df463ac807a0dc4aed5f611504e","fuel oil","1997","8","0.0787233","gallons","dollars_per_litre","4","PetroleumAdministrationForDefenseDistrict"
"014c3517e52b9edf5ccdce5569fe50f8","fuel oil","1994","12","0.0903468","gallons","dollars_per_litre","2","PetroleumAdministrationForDefenseDistrict"
"014c6ce1dacf27a9249e28876b28988b","fuel oil","1999","10","0.12601","gallons","dollars_per_litre","Pennsylvania","State"
"014cf711720894fe7c7f5a489352d9f6","electricity","2006","11","0.10102","dollars","dollars_per_kilowatt_hour","PA","State"
"014cf7b2ac1ed39937303647dab039b3","electricity","2002","9","0.0722031","dollars","dollars_per_kilowatt_hour","ND","State"
"01550b1d26d5455e9dd5b35629a4a84d","electricity","2002","1","0.0564478","dollars","dollars_per_kilowatt_hour","ND","State"
"015807476e84e133674ba3d5532901eb","electricity","1995","9","0.0607448","dollars","dollars_per_kilowatt_hour","MT","State"
"015c00ef94d71e587078083686e971d2","electricity","1999","11","0.08601","dollars","dollars_per_kilowatt_hour","OH","State"
"015c21a408f3953aeaa0c8c1bb9bcfbf","propane","2000","10","0.324139","gallons","dollars_per_litre","US","Country"
"0160b5ed22a2cead443da8dcc66fa389","fuel oil","1995","8","0.0929886","gallons","dollars_per_litre","Ohio","State"
"0162b32b7c7df5b3b26b2468a237946f","electricity","2000","6","0.0878806","dollars","dollars_per_kilowatt_hour","IA","State"
"0163dcd53f593e704338cceea505edeb","fuel oil","2003","1","0.211866","gallons","dollars_per_litre","Pennsylvania","State"
"016dc78c039d6a3c2bd51ed9ac9b4962","electricity","2003","10","0.0745251","dollars","dollars_per_kilowatt_hour","MN","State"
"016e315099d443387304d4d6a59fdc30","fuel oil","1996","7","0.106197","gallons","dollars_per_litre","1C","PetroleumAdministrationForDefenseDistrict"
"016ef79e4cea2b0c376c789795383b1b","electricity","2007","3","0.0912706","dollars","dollars_per_kilowatt_hour","LA","State"
"01715beb40b0ff746187d4eeef540943","electricity","1999","8","0.0730129","dollars","dollars_per_kilowatt_hour","CO","State"
"01746bcb850e833243a5e9ee0dac6d71","propane","2000","1","0.339725","gallons","dollars_per_litre","1B","PetroleumAdministrationForDefenseDistrict"
"01765d94ef64e7e47d9083655ee745fd","fuel oil","1995","9","0.0988003","gallons","dollars_per_litre","Indiana","State"
"01793895067c35f0c64cbca957bdf078","electricity","1997","3","0.0826523","dollars","dollars_per_kilowatt_hour","FL","State"
"017a7ae858d55fb5d925854a4398a727","electricity","1993","10","0.0954159","dollars","dollars_per_kilowatt_hour","NM","State"
"017fa24f2a5458198da93511fceb8d89","electricity","2005","3","0.112752","dollars","dollars_per_kilowatt_hour","CA","State"
"01805b4b455885d12e069ece102e9b9e","fuel oil","1993","6","0.0729115","gallons","dollars_per_litre","Mississippi","State"
"0181b738a3f69d4fee778093775ec620","electricity","2000","4","0.0695235","dollars","dollars_per_kilowatt_hour","LA","State"
"0182adaf4d6d7e81ce5378eead24bca4","electricity","1991","3","0.0581137","dollars","dollars_per_kilowatt_hour","ND","State"
"018338bb8b6b47f50eaf28e567fcb5cc","electricity","2007","1","0.124759","dollars","dollars_per_kilowatt_hour","NJ","State"
"0185021a3f71e56f0176b9a5a4d034fb","electricity","1997","12","0.116443","dollars","dollars_per_kilowatt_hour","CA","State"
"0186d51e8e0a4e57d792daaedac70f58","electricity","2003","8","0.120754","dollars","dollars_per_kilowatt_hour","NJ","State"
"01882c24771349e0db8fb316318f5232","propane","2005","3","0.47049","gallons","dollars_per_litre","1C","PetroleumAdministrationForDefenseDistrict"
"01892b0473382873b7656ebd24971d1e","electricity","2002","1","0.0683918","dollars","dollars_per_kilowatt_hour","CO","State"
"018d0d5456f8cd8db1917c32ebdaa91c","electricity","2000","5","0.0846011","dollars","dollars_per_kilowatt_hour","DC","State"
"018dd70bd46f7b00d35a8d02694d027f","fuel oil","2009","3","0.24885","gallons","dollars_per_litre","3","PetroleumAdministrationForDefenseDistrict"
"018e5c688530f4755c62c40ee4d1478d","fuel oil","2001","7","0.15639","gallons","dollars_per_litre","Vermont","State"
"019608adc10b7c0de8cb34bf85a20d3b","electricity","2006","11","0.0814488","dollars","dollars_per_kilowatt_hour","IN","State"
"0197b3533833ee76e2bd45fb16f2a816","fuel oil","1993","12","0.0641938","gallons","dollars_per_litre","3","PetroleumAdministrationForDefenseDistrict"
"019996702032e2ca6253c860fcafefb1","electricity","2000","4","0.0702673","dollars","dollars_per_kilowatt_hour","MS","State"
"019b6749fcf8abdfc59fa1b35fdb3ddd","fuel oil","2002","8","0.163787","gallons","dollars_per_litre","New York","State"
"019e2657e6c634fdd2b2819e0e2f0ae6","electricity","2009","6","0.0995221","dollars","dollars_per_kilowatt_hour","CO","State"
"01a0471f9ef2b9b857fc940569b57788","electricity","2001","9","0.0755261","dollars","dollars_per_kilowatt_hour","LA","State"
"01a54e1bf4525ac8ad5f426927d6eb7b","electricity","2001","12","0.0740014","dollars","dollars_per_kilowatt_hour","AR","State"
"01a54e8174daf5f77930bd8b074537da","electricity","2002","3","0.0711283","dollars","dollars_per_kilowatt_hour","MN","State"
"01a5ef8cb1c8d0998a81758516bfe9ef","fuel oil","1991","11","0.0811008","gallons","dollars_per_litre","Louisiana","State"
